city,time,prod,price,qty
1,1,1,6.02800587771611,238.995266548763
1,1,2,8.23199983949203,646.243673061665
1,1,3,6.97498376234042,767.854481780346
1,1,4,8.8794576944262,559.638748843797
1,1,5,7.0076846760223,708.385040961881
1,2,1,3.58972090450523,490.060439343052
1,2,2,3.88427238532809,365.277517843363
1,2,3,3.36119691394107,397.480927963518
1,2,4,5.56117662809421,538.904913365424
1,2,5,5.59529148085645,384.473539356491
1,3,1,2.89159878998973,378.983007396109
1,3,2,4.29265905619161,455.782289257093
1,3,3,4.16421981317104,532.482875854945
1,3,4,4.98333926679398,507.923280844816
1,3,5,7.50996995578515,625.442284486823
1,4,1,4.62388340658815,473.92877300499
1,4,2,6.72509856685778,712.214671602413
1,4,3,6.29754591894557,716.64162394989
1,4,4,6.15342855966357,773.906722581002
1,4,5,11.6848735759258,724.86713512639
1,5,1,4.11515473801466,302.054122453503
1,5,2,5.61948578220862,584.416388658122
1,5,3,4.98685667172799,345.371782794588
1,5,4,6.59441572346657,800.878088664507
1,5,5,6.70548881069373,615.957253622936
1,6,1,3.73475628682225,248.423343115847
1,6,2,3.93177413487352,361.869188975621
1,6,3,4.73386702546918,466.732040050275
1,6,4,5.31488175353778,654.253821505927
1,6,5,6.27851825607216,631.331185578871
1,7,1,3.75011143610048,536.996264338507
1,7,2,4.57470906274729,440.579859407815
1,7,3,2.813638080433,341.02421012872
1,7,4,4.40105563056764,460.016082038852
1,7,5,5.10001240221161,520.393473611926
1,8,1,6.21172244566502,-222.466290484716
1,8,2,6.98557356602851,594.690794079614
1,8,3,5.35725766573297,573.497945217703
1,8,4,6.47829751113678,817.47152853169
1,8,5,7.33258082364257,734.052384549138
1,9,1,3.22870788617339,445.235730118939
1,9,2,5.91427885588243,579.861303567211
1,9,3,4.74792487201941,481.356696112981
1,9,4,6.12772650083026,665.930780102007
1,9,5,9.05433184291446,465.108144042373
1,10,1,4.09775800731778,464.056588416633
1,10,2,5.67011459706951,291.198337298249
1,10,3,6.04789848575426,764.507288602774
1,10,4,5.86978915689674,752.152803939874
1,10,5,7.7051877200741,763.362601559342
1,11,1,4.16223150041448,465.86413871699
1,11,2,6.44906001783808,539.718009124201
1,11,3,10.7713639655488,65.4967188806872
